transaction_id,customer_id,product_id,transaction_date,quantity,unit_price,total_amount
TXN000059,CUST00147,PROD0109,2024-11-09,5,135.76,678.8
TXN000060,CUST00080,PROD0049,2024-10-23,3,51.36,154.08
TXN000061,CUST00297,PROD0189,2025-05-31,5,21.58,107.9
TXN000062,CUST00030,PROD0013,2025-01-20,5,100.59,502.95
TXN000063,CUST00081,PROD0015,2024-10-01,5,25.22,126.1
TXN000064,CUST00036,PROD0153,2025-03-26,1,138.29,138.29
TXN000065,CUST00207,PROD0031,2025-03-01,5,56.78,283.9
TXN000066,CUST00021,PROD0159,2024-08-29,1,89.65,89.65
TXN000067,CUST00290,PROD0134,2024-09-04,3,187.59,562.77
TXN000068,CUST00343,PROD0184,2025-03-17,3,55.35,166.05
TXN000069,CUST00068,PROD0172,2024-12-09,3,96.87,290.61
TXN000070,CUST00005,PROD0118,2025-05-23,5,199.71,998.55
TXN000071,CUST00038,PROD0138,2025-05-09,2,106.12,212.24
TXN000072,CUST00478,PROD0090,2025-04-23,1,177.06,177.06
TXN000073,CUST00146,PROD0041,2024-12-22,4,168.41,673.64
TXN000074,CUST00155,PROD0157,2024-07-04,5,11.49,57.45
TXN000075,CUST00154,PROD0170,2024-09-19,1,188.4,188.4
TXN000076,CUST00136,PROD0030,2025-04-22,1,151.06,151.06
TXN000077,CUST00140,PROD0073,2025-04-11,5,50.02,250.1
TXN000078,CUST00105,PROD0176,2025-01-05,3,106.03,318.09
TXN000079,CUST00464,PROD0014,2025-02-21,1,130.51,130.51
TXN000080,CUST00023,PROD0001,2025-02-08,3,156.51,469.53
TXN000081,CUST00135,PROD0042,2024-08-07,4,114.82,459.28
TXN000082,CUST00288,PROD0003,2024-11-23,1,24.3,24.3
TXN000083,CUST00463,PROD0039,2024-07-11,5,16.85,84.25
TXN000084,CUST00299,PROD0142,2024-12-22,2,91.66,183.32
TXN000085,CUST00158,PROD0094,2025-06-08,1,180.8,180.8
TXN000086,CUST00350,PROD0064,2025-03-14,1,77.2,77.2
TXN000087,CUST00453,PROD0105,2024-09-16,5,152.4,762.0
TXN000088,CUST00443,PROD0042,2025-02-28,2,177.47,354.94
TXN000089,CUST00092,PROD0189,2025-06-17,3,158.65,475.95
TXN000090,CUST00411,PROD0172,2024-12-01,2,60.69,121.38
TXN000091,CUST00056,PROD0098,2024-07-05,1,173.13,173.13
TXN000092,CUST00103,PROD0118,2025-03-08,3,67.99,203.97
TXN000093,CUST00115,PROD0007,2025-03-05,2,85.71,171.42
TXN000094,CUST00443,PROD0018,2025-02-07,3,76.72,230.16
TXN000095,CUST00205,PROD0174,2024-10-12,5,72.92,364.6
TXN000096,CUST00060,PROD0067,2025-06-15,2,120.31,240.62
TXN000097,CUST00020,PROD0028,2025-02-14,5,92.57,462.85
TXN000098,CUST00224,PROD0156,2025-01-20,5,31.97,159.85
TXN000099,CUST00098,PROD0066,2024-09-07,1,144.67,144.67
TXN000100,CUST00267,PROD0138,2025-06-29,2,79.2,158.4
TXN000101,CUST00486,PROD0171,2025-05-25,3,128.4,385.2
TXN000102,CUST00435,PROD0032,2024-07-25,3,106.35,319.05
TXN000103,CUST00210,PROD0084,2024-07-23,4,142.47,569.88
TXN000104,CUST00066,PROD0050,2024-09-19,4,136.34,545.36
TXN000105,CUST00347,PROD0192,2024-12-17,2,126.95,253.9
TXN000106,CUST00208,PROD0141,2025-01-26,1,67.74,67.74
TXN000107,CUST00221,PROD0149,2025-03-14,5,134.39,671.95
TXN000108,CUST00227,PROD0114,2024-11-03,2,107.12,214.24
TXN000109,CUST00338,PROD0022,2025-04-04,3,107.94,323.82
TXN000110,CUST00318,PROD0086,2024-08-09,1,165.5,165.5
TXN000111,CUST00345,PROD0080,2025-03-01,2,163.25,326.5
TXN000112,CUST00013,PROD0012,2025-04-15,2,196.95,393.9
TXN000113,CUST00436,PROD0197,2024-08-21,1,96.53,96.53
TXN000114,CUST00295,PROD0050,2024-08-11,4,103.93,415.72
TXN000115,CUST00076,PROD0168,2025-02-25,1,179.61,179.61
TXN000116,CUST00399,PROD0109,2025-05-06,2,43.42,86.84
TXN000117,CUST00266,PROD0119,2024-07-08,1,115.91,115.91
TXN000118,CUST00234,PROD0035,2025-04-28,4,136.84,547.36
TXN000119,CUST00305,PROD0082,2024-09-16,4,126.4,505.6
TXN000120,CUST00219,PROD0141,2024-10-14,4,180.47,721.88
TXN000121,CUST00231,PROD0067,2024-10-29,2,169.57,339.14
TXN000122,CUST00393,PROD0200,2025-02-08,5,102.07,510.35
TXN000123,CUST00141,PROD0113,2025-02-27,1,145.57,145.57
TXN000124,CUST00140,PROD0086,2025-03-01,3,179.68,539.04
TXN000125,CUST00071,PROD0039,2025-05-19,2,82.78,165.56
TXN000126,CUST00362,PROD0055,2025-04-12,1,88.82,88.82
TXN000127,CUST00278,PROD0120,2025-01-11,4,21.83,87.32
TXN000128,CUST00200,PROD0198,2024-11-26,5,189.75,948.75
TXN000129,CUST00439,PROD0196,2025-06-19,5,82.27,411.35
TXN000130,CUST00483,PROD0091,2025-06-26,3,153.16,459.48
TXN000131,CUST00276,PROD0192,2024-11-27,5,161.97,809.85
TXN000132,CUST00250,PROD0057,2025-03-09,3,92.81,278.43
TXN000133,CUST00200,PROD0087,2025-06-15,4,147.59,590.36
TXN000134,CUST00471,PROD0033,2024-11-02,5,111.48,557.4
TXN000135,CUST00304,PROD0145,2024-12-10,1,25.95,25.95
TXN000136,CUST00070,PROD0119,2024-11-22,2,19.55,39.1
TXN000137,CUST00168,PROD0055,2024-12-17,4,72.1,288.4
TXN000138,CUST00143,PROD0193,2024-12-17,4,57.93,231.72
TXN000139,CUST00241,PROD0005,2025-05-19,5,19.9,99.5
TXN000140,CUST00115,PROD0167,2025-01-01,1,158.43,158.43
TXN000141,CUST00021,PROD0194,2024-07-31,1,190.43,190.43
TXN000142,CUST00430,PROD0006,2025-03-19,5,38.95,194.75
TXN000143,CUST00243,PROD0172,2025-04-26,1,117.15,117.15
TXN000144,CUST00239,PROD0180,2025-03-10,3,155.71,467.13
TXN000145,CUST00311,PROD0156,2025-04-05,1,157.78,157.78
TXN000146,CUST00494,PROD0080,2025-04-07,1,119.95,119.95
TXN000147,CUST00295,PROD0174,2025-01-21,4,85.36,341.44
TXN000148,CUST00039,PROD0152,2025-03-20,2,29.36,58.72
TXN000149,CUST00436,PROD0176,2025-01-26,5,163.05,815.25
TXN000150,CUST00401,PROD0011,2024-09-13,3,111.22,333.66
TXN000151,CUST00190,PROD0018,2024-07-26,5,133.03,665.15
TXN000152,CUST00435,PROD0108,2025-06-23,4,30.05,120.2
TXN000153,CUST00326,PROD0118,2024-12-26,2,92.74,185.48
TXN000154,CUST00495,PROD0167,2024-10-05,3,127.02,381.06
TXN000155,CUST00397,PROD0124,2024-09-27,4,92.76,371.04
TXN000156,CUST00138,PROD0083,2024-08-30,2,167.84,335.68
TXN000157,CUST00143,PROD0116,2025-05-16,2,152.59,305.18
TXN000158,CUST00313,PROD0172,2024-09-11,4,73.92,295.68
TXN000159,CUST00436,PROD0084,2024-10-19,2,102.63,205.26
TXN000160,CUST00409,PROD0067,2024-12-30,3,63.14,189.42
TXN000161,CUST00360,PROD0071,2024-08-28,5,11.93,59.65
TXN000162,CUST00044,PROD0062,2025-03-24,4,102.83,411.32
TXN000163,CUST00354,PROD0122,2025-02-26,4,95.15,380.6
TXN000164,CUST00048,PROD0076,2025-06-21,2,86.84,173.68
TXN000165,CUST00157,PROD0170,2025-02-25,5,80.11,400.55
TXN000166,CUST00272,PROD0089,2024-09-19,4,199.36,797.44
TXN000167,CUST00170,PROD0091,2024-09-21,4,61.47,245.88
TXN000168,CUST00119,PROD0031,2025-02-21,2,69.95,139.9
TXN000169,CUST00487,PROD0196,2024-09-28,2,46.39,92.78
TXN000170,CUST00142,PROD0186,2024-10-25,5,195.56,977.8
TXN000171,CUST00306,PROD0073,2024-10-04,1,168.2,168.2
TXN000172,CUST00117,PROD0093,2025-01-29,2,67.43,134.86
TXN000173,CUST00274,PROD0033,2024-07-02,3,18.65,55.95
TXN000174,CUST00284,PROD0075,2025-06-02,2,131.2,262.4
TXN000175,CUST00053,PROD0004,2024-10-21,5,64.02,320.1
TXN000176,CUST00226,PROD0088,2024-10-27,2,193.44,386.88
TXN000177,CUST00482,PROD0123,2025-02-20,1,166.2,166.2
TXN000178,CUST00252,PROD0019,2024-12-06,5,129.59,647.95
TXN000179,CUST00078,PROD0039,2025-06-02,5,190.33,951.65
TXN000180,CUST00128,PROD0031,2025-05-17,5,155.24,776.2
TXN000181,CUST00306,PROD0159,2024-08-23,2,157.38,314.76
TXN000182,CUST00231,PROD0114,2024-12-17,3,173.43,520.29
TXN000183,CUST00157,PROD0146,2024-11-22,5,21.44,107.2
TXN000184,CUST00486,PROD0196,2025-05-10,2,128.85,257.7
TXN000185,CUST00339,PROD0021,2025-02-14,2,55.57,111.14
TXN000186,CUST00039,PROD0041,2024-09-20,1,87.62,87.62
TXN000187,CUST00305,PROD0121,2024-07-12,3,16.2,48.6
TXN000188,CUST00362,PROD0073,2025-02-02,4,23.52,94.08
TXN000189,CUST00474,PROD0068,2025-03-02,5,135.62,678.1
TXN000190,CUST00218,PROD0030,2025-03-20,5,52.71,263.55
TXN000191,CUST00466,PROD0069,2025-04-14,2,23.57,47.14
TXN000192,CUST00406,PROD0079,2025-04-06,5,152.3,761.5
TXN000193,CUST00472,PROD0074,2024-09-11,4,33.63,134.52
TXN000194,CUST00156,PROD0180,2024-07-12,4,189.11,756.44
TXN000195,CUST00277,PROD0127,2024-10-16,4,25.28,101.12
TXN000196,CUST00456,PROD0111,2025-06-09,3,124.71,374.13
TXN000197,CUST00047,PROD0059,2025-06-16,5,121.55,607.75
TXN000198,CUST00392,PROD0173,2025-06-19,3,119.49,358.47
TXN000199,CUST00241,PROD0133,2025-04-01,4,184.05,736.2
TXN000200,CUST00300,PROD0112,2025-03-29,4,194.12,776.48
TXN000201,CUST00179,PROD0105,2024-11-01,3,71.0,213.0
TXN000202,CUST00440,PROD0042,2025-05-07,3,88.21,264.63
TXN000203,CUST00148,PROD0170,2024-10-19,4,164.58,658.32
TXN000204,CUST00019,PROD0117,2024-09-21,1,69.76,69.76
TXN000205,CUST00060,PROD0198,2025-01-15,4,174.33,697.32
TXN000206,CUST00337,PROD0139,2025-06-29,4,88.52,354.08
TXN000207,CUST00266,PROD0093,2025-03-25,5,153.72,768.6
TXN000208,CUST00227,PROD0195,2024-08-13,1,48.68,48.68
TXN000209,CUST00068,PROD0074,2024-09-21,4,177.36,709.44
TXN000210,CUST00063,PROD0008,2024-10-24,5,161.87,809.35
TXN000211,CUST00082,PROD0080,2024-07-01,5,12.6,63.0
TXN000212,CUST00048,PROD0058,2024-12-03,1,97.68,97.68
TXN000213,CUST00332,PROD0040,2025-04-30,4,187.2,748.8
TXN000214,CUST00261,PROD0181,2025-01-31,3,88.94,266.82
TXN000215,CUST00242,PROD0063,2024-10-25,4,114.74,458.96
TXN000216,CUST00098,PROD0154,2024-12-15,5,151.8,759.0
TXN000217,CUST00443,PROD0018,2025-04-21,3,156.81,470.43
TXN000218,CUST00175,PROD0130,2024-11-29,3,165.9,497.7
TXN000219,CUST00372,PROD0077,2025-02-05,5,120.19,600.95
TXN000220,CUST00251,PROD0039,2024-07-27,4,112.33,449.32
TXN000221,CUST00171,PROD0142,2025-01-04,5,81.67,408.35
TXN000222,CUST00446,PROD0049,2025-01-16,2,118.64,237.28
TXN000223,CUST00439,PROD0199,2025-03-02,4,18.29,73.16
TXN000224,CUST00362,PROD0098,2024-10-30,4,197.8,791.2
TXN000225,CUST00078,PROD0127,2024-07-31,1,33.99,33.99
TXN000226,CUST00170,PROD0026,2024-08-31,4,28.95,115.8
TXN000227,CUST00008,PROD0185,2024-11-08,2,87.9,175.8
TXN000228,CUST00497,PROD0040,2024-07-29,1,99.2,99.2
TXN000229,CUST00174,PROD0160,2025-02-14,4,133.47,533.88
TXN000230,CUST00437,PROD0173,2025-01-12,5,82.2,411.0
TXN000231,CUST00321,PROD0184,2025-01-18,4,175.75,703.0
TXN000232,CUST00317,PROD0018,2025-06-11,2,129.92,259.84
TXN000233,CUST00117,PROD0192,2025-02-02,1,92.45,92.45
TXN000234,CUST00390,PROD0163,2025-05-10,1,94.3,94.3
TXN000235,CUST00154,PROD0008,2024-07-09,1,71.63,71.63
TXN000236,CUST00151,PROD0092,2025-06-01,3,91.83,275.49
TXN000237,CUST00272,PROD0106,2025-02-24,5,139.54,697.7
TXN000238,CUST00088,PROD0045,2025-03-29,1,125.8,125.8
TXN000239,CUST00318,PROD0175,2024-12-16,2,104.56,209.12
TXN000240,CUST00074,PROD0060,2024-09-04,4,131.2,524.8
TXN000241,CUST00131,PROD0171,2024-11-06,1,180.79,180.79
TXN000242,CUST00462,PROD0074,2024-11-03,5,40.02,200.1
TXN000243,CUST00484,PROD0089,2024-11-15,5,66.84,334.2
TXN000244,CUST00354,PROD0065,2024-11-24,4,170.61,682.44
TXN000245,CUST00197,PROD0124,2025-03-20,1,55.07,55.07
TXN000246,CUST00184,PROD0148,2024-09-10,3,198.61,595.83
TXN000247,CUST00012,PROD0169,2025-01-29,4,62.15,248.6
TXN000248,CUST00443,PROD0176,2024-09-13,1,183.02,183.02
TXN000249,CUST00427,PROD0074,2024-10-18,2,125.34,250.68
TXN000250,CUST00113,PROD0163,2024-12-31,2,127.97,255.94
TXN000251,CUST00387,PROD0185,2024-07-17,2,129.37,258.74
TXN000252,CUST00331,PROD0011,2024-08-12,3,159.84,479.52
TXN000253,CUST00297,PROD0094,2025-06-12,2,27.13,54.26
TXN000254,CUST00168,PROD0192,2025-01-29,4,43.37,173.48
TXN000255,CUST00403,PROD0139,2025-04-23,3,110.86,332.58
TXN000256,CUST00426,PROD0043,2025-02-10,3,183.67,551.01
TXN000257,CUST00496,PROD0076,2024-10-26,3,162.8,488.4
TXN000258,CUST00494,PROD0020,2024-11-02,2,153.29,306.58
TXN000259,CUST00441,PROD0174,2025-03-06,4,193.78,775.12
TXN000260,CUST00188,PROD0024,2024-09-17,4,12.64,50.56
TXN000261,CUST00064,PROD0117,2024-09-28,3,137.84,413.52
TXN000262,CUST00135,PROD0150,2024-07-20,4,166.26,665.04
TXN000263,CUST00056,PROD0173,2024-12-21,2,99.58,199.16
TXN000264,CUST00453,PROD0144,2024-08-16,3,183.9,551.7
TXN000265,CUST00332,PROD0017,2025-03-08,4,182.78,731.12
TXN000266,CUST00333,PROD0105,2025-01-26,1,36.56,36.56
TXN000267,CUST00156,PROD0127,2025-06-10,1,28.47,28.47
TXN000268,CUST00070,PROD0100,2024-09-27,4,80.49,321.96
TXN000269,CUST00485,PROD0139,2024-07-08,4,121.59,486.36
TXN000270,CUST00454,PROD0107,2025-04-11,1,168.4,168.4
TXN000271,CUST00209,PROD0072,2024-08-18,1,141.15,141.15
TXN000272,CUST00228,PROD0114,2025-03-10,2,172.54,345.08
TXN000273,CUST00352,PROD0095,2025-05-10,5,181.32,906.6
TXN000274,CUST00184,PROD0016,2024-08-03,4,62.42,249.68
TXN000275,CUST00486,PROD0117,2025-04-28,1,135.93,135.93
TXN000276,CUST00328,PROD0153,2024-08-05,1,19.61,19.61
TXN000277,CUST00125,PROD0033,2025-01-10,5,48.99,244.95
TXN000278,CUST00107,PROD0151,2024-09-19,2,164.48,328.96
TXN000279,CUST00169,PROD0199,2025-03-02,2,159.84,319.68
TXN000280,CUST00002,PROD0071,2024-08-28,2,197.63,395.26
TXN000281,CUST00129,PROD0045,2024-09-26,1,135.6,135.6
TXN000282,CUST00068,PROD0004,2025-06-16,3,160.1,480.3
TXN000283,CUST00302,PROD0083,2025-02-28,1,43.11,43.11
TXN000284,CUST00065,PROD0190,2025-06-03,4,109.96,439.84
TXN000285,CUST00244,PROD0115,2025-05-28,3,107.52,322.56
TXN000286,CUST00232,PROD0129,2025-05-05,2,189.63,379.26
TXN000287,CUST00373,PROD0169,2025-06-07,5,67.31,336.55
TXN000288,CUST00494,PROD0008,2024-08-04,1,199.73,199.73
TXN000289,CUST00219,PROD0176,2024-12-06,1,103.15,103.15
TXN000290,CUST00038,PROD0021,2024-11-14,3,125.58,376.74
TXN000291,CUST00065,PROD0071,2025-05-27,5,130.28,651.4
TXN000292,CUST00365,PROD0084,2024-09-22,4,198.98,795.92
TXN000293,CUST00151,PROD0117,2024-10-01,5,125.03,625.15
TXN000294,CUST00407,PROD0180,2025-05-10,1,172.03,172.03
TXN000295,CUST00450,PROD0197,2024-07-31,5,146.96,734.8
TXN000296,CUST00221,PROD0116,2025-03-11,2,88.62,177.24
TXN000297,CUST00205,PROD0107,2024-11-09,1,69.38,69.38
TXN000298,CUST00341,PROD0066,2025-01-20,3,191.18,573.54
TXN000299,CUST00473,PROD0122,2024-07-13,1,27.33,27.33
TXN000300,CUST00048,PROD0111,2025-05-17,1,151.47,151.47
TXN000301,CUST00416,PROD0034,2024-12-21,5,21.4,107.0
TXN000302,CUST00288,PROD0085,2024-09-15,1,88.05,88.05
TXN000303,CUST00482,PROD0193,2024-07-24,4,174.94,699.76
TXN000304,CUST00496,PROD0074,2025-06-03,5,69.37,346.85
TXN000305,CUST00296,PROD0130,2025-05-07,2,39.4,78.8
TXN000306,CUST00115,PROD0028,2024-10-26,3,170.62,511.86
TXN000307,CUST00059,PROD0196,2024-12-23,3,119.08,357.24
TXN000308,CUST00433,PROD0144,2024-11-22,5,126.58,632.9
TXN000309,CUST00286,PROD0007,2024-08-04,5,186.53,932.65
TXN000310,CUST00137,PROD0008,2024-07-09,2,61.92,123.84
TXN000311,CUST00472,PROD0087,2025-01-22,3,11.16,33.48
TXN000312,CUST00290,PROD0169,2025-04-17,4,23.22,92.88
TXN000313,CUST00498,PROD0008,2024-08-09,1,151.76,151.76
TXN000314,CUST00193,PROD0108,2025-03-11,4,74.77,299.08
TXN000315,CUST00160,PROD0185,2024-12-22,3,157.6,472.8
TXN000316,CUST00306,PROD0022,2024-09-12,1,39.56,39.56
TXN000317,CUST00026,PROD0173,2024-08-17,1,61.7,61.7
TXN000318,CUST00218,PROD0125,2024-07-26,5,93.99,469.95
TXN000319,CUST00111,PROD0194,2025-02-10,5,31.63,158.15
TXN000320,CUST00057,PROD0073,2024-11-21,5,102.46,512.3
TXN000321,CUST00158,PROD0012,2024-07-23,2,85.1,170.2
TXN000322,CUST00029,PROD0002,2024-08-27,2,67.27,134.54
TXN000323,CUST00393,PROD0036,2025-03-13,3,64.99,194.97
TXN000324,CUST00004,PROD0128,2025-04-29,4,43.38,173.52
TXN000325,CUST00273,PROD0181,2024-12-17,2,105.05,210.1
TXN000326,CUST00413,PROD0091,2024-07-22,1,85.44,85.44
TXN000327,CUST00224,PROD0005,2025-06-08,4,185.02,740.08
TXN000328,CUST00295,PROD0110,2025-01-20,5,86.84,434.2
TXN000329,CUST00214,PROD0075,2024-08-06,1,86.96,86.96
TXN000330,CUST00088,PROD0159,2025-01-14,4,168.08,672.32
TXN000331,CUST00046,PROD0112,2024-12-26,1,56.23,56.23
TXN000332,CUST00206,PROD0135,2024-09-01,1,85.2,85.2
TXN000333,CUST00382,PROD0087,2025-01-22,2,73.28,146.56
TXN000334,CUST00040,PROD0131,2025-04-04,1,110.81,110.81
TXN000335,CUST00464,PROD0199,2025-03-22,3,76.71,230.13
TXN000336,CUST00418,PROD0038,2024-08-03,2,29.53,59.06
TXN000337,CUST00102,PROD0045,2025-02-18,5,39.05,195.25
TXN000338,CUST00039,PROD0046,2024-07-29,4,98.15,392.6
TXN000339,CUST00390,PROD0149,2024-09-14,4,139.42,557.68
TXN000340,CUST00330,PROD0163,2024-09-13,5,71.41,357.05
TXN000341,CUST00162,PROD0039,2024-08-12,4,22.97,91.88
TXN000342,CUST00324,PROD0078,2024-11-15,3,122.37,367.11
TXN000343,CUST00260,PROD0019,2024-12-31,3,97.73,293.19
TXN000344,CUST00030,PROD0095,2025-06-10,3,24.58,73.74
TXN000345,CUST00315,PROD0153,2025-05-14,5,83.05,415.25
TXN000346,CUST00284,PROD0190,2024-09-05,1,95.45,95.45
TXN000347,CUST00334,PROD0049,2024-09-10,3,124.95,374.85
TXN000348,CUST00078,PROD0016,2024-10-16,4,29.67,118.68
TXN000349,CUST00366,PROD0022,2025-01-05,5,132.76,663.8
TXN000350,CUST00127,PROD0182,2025-06-09,4,198.29,793.16
TXN000351,CUST00268,PROD0157,2024-10-04,2,79.14,158.28
TXN000352,CUST00199,PROD0105,2025-02-05,3,138.99,416.97
TXN000353,CUST00405,PROD0162,2025-06-03,3,22.52,67.56
TXN000354,CUST00286,PROD0174,2025-05-12,4,63.99,255.96
TXN000355,CUST00494,PROD0155,2024-07-28,2,73.34,146.68
TXN000356,CUST00340,PROD0037,2024-09-04,3,68.94,206.82
TXN000357,CUST00358,PROD0170,2024-07-29,4,34.5,138.0
TXN000358,CUST00481,PROD0022,2024-07-02,3,116.2,348.6
TXN000359,CUST00406,PROD0085,2024-08-04,2,137.32,274.64
TXN000360,CUST00468,PROD0135,2024-07-14,1,132.74,132.74
TXN000361,CUST00261,PROD0093,2024-11-25,1,78.89,78.89
TXN000362,CUST00487,PROD0055,2025-03-29,3,190.06,570.18
TXN000363,CUST00099,PROD0058,2024-10-24,2,39.44,78.88
TXN000364,CUST00433,PROD0026,2025-01-29,5,156.47,782.35
TXN000365,CUST00020,PROD0170,2024-10-03,3,176.51,529.53
TXN000366,CUST00068,PROD0153,2024-08-17,4,39.31,157.24
TXN000367,CUST00426,PROD0178,2025-03-29,5,163.72,818.6
TXN000368,CUST00370,PROD0113,2025-04-06,1,88.06,88.06
TXN000369,CUST00369,PROD0061,2024-07-18,4,126.01,504.04
TXN000370,CUST00120,PROD0137,2024-11-12,2,68.8,137.6
TXN000371,CUST00463,PROD0050,2024-11-01,3,138.88,416.64
TXN000372,CUST00226,PROD0119,2024-09-10,3,157.84,473.52
TXN000373,CUST00271,PROD0108,2024-10-15,2,165.21,330.42
TXN000374,CUST00071,PROD0065,2024-08-24,1,131.82,131.82
TXN000375,CUST00284,PROD0027,2024-12-21,5,171.72,858.6
TXN000376,CUST00043,PROD0196,2025-02-04,2,61.83,123.66
TXN000377,CUST00076,PROD0112,2024-10-10,1,189.82,189.82
TXN000378,CUST00419,PROD0116,2025-03-08,3,186.79,560.37
TXN000379,CUST00028,PROD0102,2024-11-29,5,81.05,405.25
TXN000380,CUST00042,PROD0096,2024-12-14,2,15.36,30.72
TXN000381,CUST00430,PROD0183,2025-05-10,3,160.36,481.08
TXN000382,CUST00020,PROD0074,2025-04-20,4,142.25,569.0
TXN000383,CUST00389,PROD0181,2025-04-19,4,95.23,380.92
TXN000384,CUST00464,PROD0021,2025-06-27,1,58.63,58.63
TXN000385,CUST00281,PROD0187,2025-04-14,5,110.28,551.4
TXN000386,CUST00398,PROD0074,2025-05-04,2,67.22,134.44
TXN000387,CUST00123,PROD0108,2025-06-05,5,96.85,484.25
TXN000388,CUST00429,PROD0128,2025-05-04,5,111.85,559.25
TXN000389,CUST00264,PROD0148,2024-08-10,2,146.52,293.04
TXN000390,CUST00220,PROD0001,2025-01-31,5,77.04,385.2
TXN000391,CUST00214,PROD0048,2024-09-10,1,109.46,109.46
TXN000392,CUST00035,PROD0135,2024-12-27,5,106.39,531.95
TXN000393,CUST00284,PROD0006,2024-10-13,4,175.93,703.72
TXN000394,CUST00326,PROD0100,2025-06-07,3,58.19,174.57
TXN000395,CUST00183,PROD0018,2025-06-21,3,55.81,167.43
TXN000396,CUST00322,PROD0027,2024-07-28,5,149.69,748.45
TXN000397,CUST00069,PROD0012,2025-01-10,3,113.74,341.22
TXN000398,CUST00090,PROD0200,2024-08-04,4,196.36,785.44
