customer_id,purchase_date,channel,amount_spent,items_purchased,avg_item_price
CUST00085,2024-07-12,Online,356.14,8,44.52
CUST00422,2025-03-26,Mobile,295.35,1,295.35
CUST00309,2025-03-25,Call Center,374.88,8,46.86
CUST00547,2024-04-29,Online,527.18,3,175.73
CUST00477,2024-05-22,Mobile,289.63,6,48.27
CUST00199,2025-01-05,Call Center,560.35,5,112.07
CUST00226,2025-04-21,Store,702.93,3,234.31
CUST00457,2024-05-29,Mobile,386.37,9,42.93
CUST00362,2024-04-13,Mobile,98.82,9,10.98
CUST00221,2024-05-25,Mobile,277.02,8,34.63
CUST00264,2025-03-01,Store,353.45,4,88.36
CUST00582,2024-11-22,Store,747.17,5,149.43
CUST00258,2024-07-14,Mobile,742.23,6,123.7
CUST00008,2024-10-18,Online,150.62,8,18.83
CUST00516,2025-06-15,Mobile,175.44,6,29.24
CUST00524,2025-02-16,Online,727.3,8,90.91
CUST00219,2024-06-28,Call Center,193.09,5,38.62
CUST00553,2024-06-29,Store,189.97,3,63.32
CUST00584,2025-04-06,Call Center,513.37,3,171.12
CUST00237,2024-06-04,Mobile,493.12,8,61.64
CUST00496,2024-11-10,Call Center,253.66,10,25.37
CUST00424,2024-11-20,Store,767.48,7,109.64
CUST00269,2025-06-27,Call Center,703.43,9,78.16
CUST00488,2024-08-08,Online,711.5,4,177.88
CUST00326,2024-08-09,Call Center,344.43,3,114.81
CUST00354,2024-11-21,Mobile,707.3,1,707.3
CUST00427,2025-03-09,Call Center,95.61,9,10.62
CUST00029,2024-04-02,Store,211.7,10,21.17
CUST00390,2024-12-31,Call Center,605.71,5,121.14
CUST00569,2024-10-16,Call Center,231.28,4,57.82
CUST00145,2024-06-26,Mobile,618.45,4,154.61
CUST00120,2025-02-18,Mobile,269.52,9,29.95
CUST00134,2024-11-06,Mobile,114.43,10,11.44
CUST00470,2024-10-22,Online,225.99,9,25.11
CUST00247,2025-06-27,Mobile,588.35,4,147.09
CUST00069,2025-04-11,Online,777.62,6,129.6
CUST00138,2024-07-05,Store,322.12,9,35.79
CUST00072,2024-07-09,Store,490.61,7,70.09
CUST00088,2024-03-08,Store,520.03,6,86.67
CUST00573,2024-12-20,Call Center,652.94,10,65.29
CUST00172,2025-01-08,Store,415.07,1,415.07
CUST00170,2024-09-15,Online,405.59,9,45.07
CUST00590,2024-04-17,Store,424.26,9,47.14
CUST00310,2025-03-03,Mobile,766.82,4,191.71
CUST00014,2024-08-09,Call Center,716.93,1,716.93
CUST00463,2024-04-26,Mobile,600.62,2,300.31
CUST00291,2025-03-21,Mobile,282.33,6,47.05
CUST00560,2025-02-12,Call Center,175.21,1,175.21
CUST00489,2024-04-18,Online,721.55,4,180.39
CUST00349,2025-06-08,Online,782.54,4,195.63
CUST00459,2024-08-21,Online,132.9,4,33.23
CUST00129,2024-08-06,Mobile,338.27,2,169.13
CUST00141,2024-07-12,Store,544.28,6,90.71
CUST00532,2025-05-05,Store,432.94,9,48.1
CUST00487,2024-07-27,Store,601.08,8,75.14
CUST00236,2024-03-07,Store,747.37,9,83.04
CUST00057,2025-01-11,Call Center,396.93,3,132.31
CUST00281,2024-07-19,Call Center,435.94,8,54.49
CUST00509,2024-06-05,Call Center,658.97,3,219.66
CUST00538,2024-11-12,Store,216.92,5,43.38
CUST00263,2024-03-31,Store,95.63,7,13.66
CUST00123,2024-03-19,Call Center,42.55,10,4.25
CUST00046,2024-07-01,Online,63.96,4,15.99
CUST00021,2025-06-18,Store,740.3,8,92.54
CUST00517,2024-09-02,Online,751.69,10,75.17
CUST00203,2025-03-05,Online,641.79,5,128.36
CUST00026,2025-03-07,Mobile,331.89,3,110.63
CUST00206,2024-03-01,Call Center,311.27,10,31.13
CUST00159,2025-03-03,Mobile,376.9,6,62.82
CUST00583,2024-03-13,Online,391.27,2,195.63
CUST00043,2025-02-19,Store,173.44,7,24.78
CUST00431,2025-05-12,Mobile,456.84,1,456.84
CUST00224,2024-04-12,Call Center,278.37,4,69.59
CUST00412,2024-07-27,Mobile,473.03,9,52.56
CUST00476,2025-04-06,Call Center,506.18,2,253.09
CUST00166,2024-04-30,Store,693.81,2,346.9
CUST00068,2025-01-04,Online,462.9,3,154.3
CUST00201,2025-01-26,Mobile,652.52,10,65.25
CUST00199,2024-02-18,Online,469.61,1,469.61
CUST00045,2025-02-20,Mobile,135.18,3,45.06
CUST00223,2025-04-09,Online,426.49,7,60.93
CUST00056,2025-03-09,Store,203.93,4,50.98
CUST00242,2024-12-01,Mobile,697.54,7,99.65
CUST00124,2025-02-13,Online,227.56,1,227.56
CUST00166,2025-01-27,Mobile,785.24,7,112.18
CUST00520,2024-08-25,Online,423.94,8,52.99
CUST00346,2025-03-20,Store,558.98,9,62.11
CUST00195,2024-10-05,Call Center,257.28,1,257.28
CUST00409,2024-07-27,Store,307.74,4,76.94
CUST00427,2025-05-05,Online,115.67,8,14.46
CUST00017,2024-11-27,Mobile,415.63,7,59.38
CUST00583,2024-03-17,Mobile,258.79,1,258.79
CUST00506,2025-04-29,Store,177.16,9,19.68
CUST00557,2025-06-29,Call Center,63.89,7,9.13
CUST00484,2025-03-21,Online,222.83,4,55.71
CUST00082,2025-05-26,Store,395.7,2,197.85
CUST00122,2024-10-15,Store,434.11,5,86.82
CUST00204,2024-04-23,Call Center,645.33,6,107.56
CUST00146,2024-08-23,Online,413.31,4,103.33
CUST00412,2024-05-12,Online,304.68,10,30.47
CUST00219,2025-03-27,Mobile,212.26,2,106.13
CUST00139,2024-07-29,Call Center,189.67,3,63.22
CUST00381,2024-03-22,Call Center,436.65,8,54.58
CUST00333,2024-02-17,Mobile,487.28,4,121.82
CUST00584,2025-01-26,Online,663.56,6,110.59
CUST00021,2025-02-08,Mobile,677.38,4,169.34
CUST00386,2024-03-15,Online,577.4,4,144.35
CUST00220,2025-02-05,Store,598.55,7,85.51
CUST00050,2024-10-14,Call Center,473.15,4,118.29
CUST00125,2024-04-29,Store,647.63,8,80.95
CUST00175,2024-07-07,Mobile,290.79,8,36.35
CUST00150,2024-10-02,Online,485.57,5,97.11
CUST00433,2024-10-11,Call Center,488.47,3,162.82
CUST00069,2024-02-25,Mobile,632.66,6,105.44
CUST00466,2025-06-24,Call Center,588.13,4,147.03
CUST00551,2024-04-21,Mobile,341.54,5,68.31
CUST00117,2025-05-26,Online,487.89,4,121.97
CUST00177,2025-01-07,Online,501.46,1,501.46
CUST00163,2024-08-08,Mobile,761.39,8,95.17
CUST00102,2025-04-16,Mobile,771.85,9,85.76
CUST00420,2024-08-29,Store,152.71,1,152.71
CUST00437,2025-06-12,Call Center,557.0,5,111.4
CUST00510,2025-02-08,Online,673.67,8,84.21
CUST00497,2024-09-06,Call Center,17.39,9,1.93
CUST00587,2024-11-20,Store,599.27,10,59.93
CUST00074,2025-04-01,Online,413.95,9,45.99
CUST00132,2025-01-10,Store,151.82,1,151.82
CUST00173,2024-05-15,Store,241.76,2,120.88
CUST00489,2024-06-10,Online,587.96,10,58.8
CUST00233,2025-03-30,Store,188.89,7,26.98
CUST00520,2024-12-14,Mobile,288.99,3,96.33
CUST00488,2024-03-30,Mobile,338.96,3,112.99
CUST00092,2024-07-08,Store,65.29,4,16.32
CUST00070,2024-04-18,Online,440.35,8,55.04
CUST00058,2025-01-12,Store,419.41,6,69.9
CUST00199,2025-02-24,Mobile,411.35,10,41.14
CUST00026,2024-09-10,Online,254.39,10,25.44
CUST00104,2024-10-17,Call Center,196.92,7,28.13
CUST00408,2024-02-21,Mobile,765.82,2,382.91
CUST00551,2024-03-10,Mobile,113.73,5,22.75
CUST00240,2025-04-26,Call Center,426.58,8,53.32
CUST00452,2024-05-03,Call Center,331.55,10,33.16
CUST00177,2025-01-07,Call Center,205.05,4,51.26
CUST00271,2024-07-28,Mobile,535.38,2,267.69
CUST00335,2025-02-01,Online,271.18,9,30.13
CUST00404,2025-03-19,Online,466.5,8,58.31
CUST00449,2024-08-18,Call Center,561.76,6,93.63
CUST00470,2024-05-11,Call Center,531.1,3,177.03
CUST00581,2025-04-12,Call Center,192.81,7,27.54
CUST00369,2025-06-12,Online,225.44,2,112.72
CUST00038,2024-08-08,Store,187.67,6,31.28
CUST00331,2024-09-07,Mobile,38.9,8,4.86
CUST00501,2025-02-10,Store,252.07,1,252.07
CUST00040,2024-10-24,Online,34.24,4,8.56
CUST00240,2024-12-30,Call Center,658.16,3,219.39
CUST00277,2025-02-12,Mobile,248.45,9,27.61
CUST00177,2025-05-20,Call Center,392.92,8,49.12
CUST00313,2025-05-25,Call Center,341.47,2,170.74
CUST00038,2024-07-14,Store,778.97,9,86.55
CUST00025,2025-03-29,Call Center,432.7,10,43.27
CUST00341,2025-05-19,Store,534.27,9,59.36
CUST00159,2025-03-09,Store,163.38,7,23.34
CUST00137,2025-03-11,Mobile,787.51,6,131.25
CUST00295,2025-01-17,Store,434.74,10,43.47
CUST00244,2024-06-18,Mobile,387.05,10,38.7
CUST00095,2024-08-31,Online,630.16,10,63.02
CUST00432,2025-06-29,Store,554.22,2,277.11
CUST00273,2024-02-23,Store,353.27,1,353.27
CUST00415,2024-05-29,Online,777.93,4,194.48
CUST00261,2024-08-25,Store,757.96,1,757.96
CUST00363,2024-11-17,Store,644.11,4,161.03
CUST00025,2024-12-22,Mobile,496.43,7,70.92
CUST00281,2024-05-16,Online,774.55,1,774.55
CUST00015,2024-08-17,Store,45.97,4,11.49
CUST00129,2024-03-20,Call Center,69.1,9,7.68
CUST00050,2024-09-23,Mobile,227.76,8,28.47
CUST00341,2025-02-20,Mobile,319.69,9,35.52
CUST00519,2024-03-21,Mobile,202.49,4,50.62
CUST00540,2024-10-08,Call Center,100.13,5,20.03
CUST00224,2025-04-08,Call Center,87.72,4,21.93
CUST00320,2024-08-05,Online,438.64,6,73.11
CUST00057,2024-12-08,Mobile,596.73,1,596.73
CUST00567,2024-09-23,Mobile,617.9,9,68.66
CUST00248,2024-07-10,Store,392.19,1,392.19
CUST00170,2024-08-03,Mobile,745.03,6,124.17
CUST00533,2025-05-04,Online,699.21,1,699.21
CUST00129,2024-11-15,Online,166.85,10,16.68
CUST00552,2024-09-18,Mobile,307.49,9,34.17
CUST00048,2025-06-26,Store,533.47,1,533.47
CUST00514,2024-09-06,Online,695.2,5,139.04
CUST00090,2025-06-16,Store,280.85,1,280.85
CUST00040,2025-04-13,Call Center,507.14,7,72.45
CUST00348,2024-12-22,Mobile,673.25,3,224.42
CUST00165,2025-06-25,Call Center,774.08,2,387.04
CUST00139,2025-03-23,Store,361.69,9,40.19
CUST00150,2024-08-29,Online,76.71,4,19.18
CUST00277,2025-03-16,Mobile,67.87,2,33.94
CUST00400,2024-08-02,Mobile,114.9,9,12.77
CUST00234,2025-03-14,Mobile,418.04,9,46.45
CUST00022,2024-11-11,Call Center,60.67,1,60.67
CUST00102,2025-05-30,Call Center,434.77,4,108.69
CUST00517,2024-07-08,Call Center,472.05,2,236.03
CUST00148,2024-06-05,Store,130.72,6,21.79
CUST00296,2024-03-09,Call Center,650.66,7,92.95
CUST00489,2025-05-10,Mobile,331.08,10,33.11
CUST00561,2024-03-20,Call Center,615.47,4,153.87
CUST00438,2024-12-27,Call Center,258.22,7,36.89
CUST00326,2024-07-10,Store,480.48,4,120.12
CUST00038,2024-05-24,Mobile,724.19,3,241.4
CUST00175,2024-02-22,Online,59.07,9,6.56
CUST00160,2024-12-05,Mobile,383.79,1,383.79
CUST00017,2025-01-02,Mobile,102.73,6,17.12
CUST00478,2025-01-30,Store,558.72,6,93.12
CUST00196,2024-11-10,Call Center,297.24,4,74.31
CUST00268,2024-07-17,Call Center,67.39,6,11.23
CUST00146,2024-11-02,Online,571.13,6,95.19
CUST00358,2025-03-24,Mobile,81.41,10,8.14
CUST00030,2025-01-22,Mobile,238.78,1,238.78
CUST00414,2024-07-24,Store,322.89,7,46.13
CUST00486,2024-07-26,Online,547.92,1,547.92
CUST00034,2024-09-08,Call Center,57.38,9,6.38
CUST00046,2024-05-19,Mobile,525.19,10,52.52
CUST00066,2024-08-28,Mobile,269.81,1,269.81
CUST00019,2024-12-10,Online,785.01,3,261.67
CUST00151,2024-06-12,Store,19.62,2,9.81
CUST00315,2024-05-27,Online,533.14,4,133.28
CUST00317,2025-03-14,Call Center,418.0,9,46.44
CUST00283,2024-07-23,Mobile,630.26,2,315.13
CUST00423,2024-06-22,Mobile,329.99,1,329.99
CUST00542,2024-11-23,Store,393.14,3,131.05
CUST00009,2024-10-01,Online,696.42,5,139.28
CUST00479,2024-06-18,Online,252.23,2,126.11
CUST00464,2025-03-05,Mobile,772.0,4,193.0
CUST00222,2024-07-31,Online,417.77,3,139.26
CUST00065,2024-07-21,Mobile,129.79,2,64.89
CUST00070,2024-06-15,Store,699.25,5,139.85
CUST00149,2024-10-20,Store,271.28,10,27.13
CUST00280,2025-02-16,Online,276.41,3,92.14
CUST00561,2024-11-26,Mobile,169.97,1,169.97
CUST00521,2024-11-16,Mobile,380.15,3,126.72
CUST00418,2025-05-27,Call Center,173.61,6,28.94
CUST00411,2024-09-12,Online,220.3,4,55.08
CUST00291,2025-03-05,Online,540.04,1,540.04
CUST00173,2024-08-08,Call Center,798.82,9,88.76
CUST00043,2024-07-25,Call Center,68.79,5,13.76
CUST00279,2024-09-29,Call Center,743.73,7,106.25
CUST00088,2024-03-15,Store,524.52,1,524.52
CUST00138,2024-05-17,Store,166.06,5,33.21
CUST00184,2024-06-14,Mobile,481.04,3,160.35
CUST00593,2024-07-05,Store,419.16,5,83.83
CUST00207,2025-04-19,Online,72.79,1,72.79
CUST00408,2025-02-23,Call Center,272.08,8,34.01
CUST00421,2024-07-29,Mobile,682.17,4,170.54
CUST00496,2024-05-11,Online,741.52,9,82.39
CUST00387,2024-09-25,Store,425.44,3,141.81
CUST00167,2025-06-04,Mobile,722.45,5,144.49
CUST00198,2025-03-08,Call Center,673.51,4,168.38
CUST00153,2024-08-29,Store,485.39,10,48.54
CUST00599,2024-11-14,Call Center,700.42,10,70.04
CUST00285,2024-04-01,Store,702.0,1,702.0
CUST00003,2025-04-11,Call Center,663.84,7,94.83
CUST00209,2025-03-07,Store,260.34,1,260.34
CUST00272,2025-02-06,Mobile,641.56,10,64.16
CUST00281,2024-09-08,Call Center,564.36,3,188.12
CUST00590,2025-05-28,Call Center,82.74,9,9.19
CUST00030,2024-07-05,Online,503.37,7,71.91
CUST00328,2024-12-23,Mobile,688.26,9,76.47
CUST00002,2025-03-10,Online,423.99,5,84.8
CUST00247,2024-04-05,Store,554.54,10,55.45
CUST00089,2025-05-06,Store,274.78,10,27.48
CUST00519,2025-03-13,Online,596.12,4,149.03
CUST00449,2025-02-18,Mobile,641.25,3,213.75
CUST00375,2024-04-24,Store,707.19,9,78.58
CUST00460,2024-08-02,Call Center,431.33,8,53.92
CUST00264,2024-06-01,Store,589.87,1,589.87
CUST00491,2025-03-16,Online,786.85,10,78.69
CUST00161,2025-05-12,Store,35.44,8,4.43
CUST00350,2025-02-06,Online,556.79,7,79.54
CUST00043,2024-02-24,Call Center,342.02,8,42.75
CUST00027,2024-03-28,Online,590.36,4,147.59
CUST00517,2024-05-09,Mobile,733.88,3,244.63
CUST00054,2024-09-20,Mobile,55.6,8,6.95
CUST00298,2024-04-01,Online,661.49,10,66.15
CUST00378,2025-03-21,Mobile,182.83,10,18.28
CUST00211,2024-05-04,Mobile,291.06,6,48.51
CUST00056,2025-02-07,Mobile,424.32,9,47.15
CUST00228,2025-01-16,Call Center,302.24,3,100.75
CUST00314,2024-07-23,Store,690.66,6,115.11
CUST00340,2025-06-06,Mobile,168.03,4,42.01
CUST00277,2025-05-29,Online,653.09,10,65.31
CUST00106,2025-05-22,Mobile,645.71,8,80.71
CUST00275,2024-08-07,Call Center,729.96,1,729.96
CUST00389,2024-09-20,Online,439.51,3,146.5
CUST00279,2025-05-30,Call Center,334.96,6,55.83
CUST00372,2024-07-28,Call Center,47.12,6,7.85
CUST00567,2025-06-05,Store,627.95,6,104.66
CUST00513,2025-04-29,Online,530.22,2,265.11
CUST00265,2024-11-25,Mobile,527.34,10,52.73
CUST00545,2024-06-26,Store,115.23,2,57.62
CUST00257,2024-09-25,Store,372.07,10,37.21
CUST00484,2025-03-21,Store,779.48,3,259.83
CUST00067,2024-07-05,Call Center,537.34,3,179.11
CUST00551,2024-09-08,Store,186.18,1,186.18
CUST00343,2024-10-04,Online,510.28,1,510.28
CUST00228,2024-10-08,Mobile,135.98,1,135.98
CUST00223,2025-03-14,Online,444.28,5,88.86
CUST00322,2024-11-03,Mobile,241.89,8,30.24
CUST00233,2024-07-04,Online,746.09,5,149.22
CUST00346,2024-05-30,Mobile,219.82,1,219.82
CUST00280,2024-11-26,Store,156.34,8,19.54
CUST00285,2024-12-06,Online,128.77,5,25.75
CUST00170,2024-05-19,Mobile,580.61,2,290.31
CUST00145,2024-12-13,Mobile,41.37,3,13.79
CUST00133,2024-11-29,Store,753.83,3,251.28
CUST00424,2025-03-20,Online,699.86,8,87.48
CUST00004,2024-11-03,Online,732.39,5,146.48
CUST00098,2024-07-19,Online,761.0,8,95.12
CUST00510,2024-11-22,Store,729.95,9,81.11
CUST00545,2024-02-16,Call Center,124.69,9,13.85
CUST00031,2024-09-12,Call Center,145.93,9,16.21
CUST00118,2024-08-30,Mobile,628.97,8,78.62
CUST00501,2024-05-03,Store,284.63,5,56.93
CUST00178,2025-01-17,Mobile,250.75,7,35.82
CUST00270,2025-05-01,Store,306.6,8,38.33
CUST00070,2024-09-16,Online,166.09,5,33.22
CUST00392,2024-06-24,Call Center,766.53,2,383.26
CUST00305,2025-04-27,Mobile,495.24,7,70.75
CUST00078,2024-05-14,Online,352.55,5,70.51
CUST00577,2024-07-17,Online,589.23,8,73.65
CUST00110,2024-06-20,Store,690.94,5,138.19
CUST00281,2024-07-19,Call Center,50.72,10,5.07
CUST00205,2024-11-02,Mobile,167.82,4,41.95
CUST00445,2025-05-19,Online,615.55,9,68.39
CUST00028,2025-06-28,Online,789.84,8,98.73
CUST00483,2024-08-27,Store,273.06,4,68.27
CUST00574,2024-03-25,Call Center,274.26,4,68.56
CUST00265,2025-06-26,Mobile,424.44,3,141.48
CUST00583,2025-03-17,Store,257.09,7,36.73
CUST00197,2025-04-15,Call Center,508.77,9,56.53
CUST00506,2024-09-19,Store,517.62,5,103.52
CUST00547,2025-01-09,Online,142.01,2,71.0
CUST00467,2025-03-23,Store,586.67,4,146.67
CUST00409,2024-12-08,Mobile,450.25,8,56.28
CUST00135,2025-03-20,Mobile,333.61,3,111.2
CUST00385,2025-04-09,Call Center,225.61,9,25.07
CUST00084,2024-05-16,Mobile,356.51,5,71.3
CUST00244,2025-04-22,Store,351.0,2,175.5
CUST00333,2025-03-09,Online,585.99,1,585.99
CUST00553,2025-03-01,Mobile,651.1,5,130.22
CUST00119,2024-05-10,Store,516.87,6,86.14
CUST00365,2024-03-26,Store,780.01,3,260.0
CUST00360,2025-02-24,Store,170.62,5,34.12
CUST00016,2024-06-24,Call Center,781.77,10,78.18
CUST00485,2024-05-03,Call Center,35.95,7,5.14
CUST00200,2025-01-21,Mobile,146.09,4,36.52
CUST00300,2024-12-19,Call Center,185.47,1,185.47
CUST00241,2024-09-15,Store,146.76,8,18.34
CUST00504,2025-02-08,Store,95.93,1,95.93
CUST00017,2024-03-03,Online,533.68,4,133.42
CUST00564,2024-06-15,Call Center,171.08,7,24.44
CUST00433,2024-05-28,Call Center,85.2,6,14.2
CUST00121,2024-11-22,Store,165.2,7,23.6
CUST00213,2024-12-31,Store,725.01,3,241.67
CUST00486,2025-05-04,Call Center,781.08,7,111.58
CUST00107,2024-11-15,Online,216.9,1,216.9
CUST00021,2024-10-03,Store,337.37,3,112.46
CUST00048,2024-09-15,Online,232.11,1,232.11
CUST00575,2024-03-09,Call Center,767.35,7,109.62
CUST00587,2025-02-14,Online,46.35,1,46.35
CUST00250,2025-04-29,Online,138.02,7,19.72
CUST00451,2025-06-16,Online,203.23,7,29.03
CUST00438,2024-06-18,Online,192.38,2,96.19
CUST00154,2025-03-31,Online,64.21,10,6.42
CUST00343,2025-02-27,Call Center,375.28,3,125.09
CUST00007,2025-01-07,Mobile,147.65,6,24.61
CUST00571,2025-05-13,Call Center,521.59,2,260.8
CUST00477,2024-08-29,Call Center,341.13,4,85.28
CUST00427,2024-03-26,Call Center,65.19,8,8.15
CUST00173,2024-11-14,Mobile,572.4,4,143.1
CUST00161,2024-12-17,Online,578.43,9,64.27
CUST00091,2025-01-17,Call Center,351.97,4,87.99
CUST00169,2024-10-02,Store,557.2,3,185.73
CUST00585,2024-08-23,Call Center,408.15,10,40.81
CUST00190,2024-10-14,Call Center,569.62,7,81.37
CUST00440,2025-05-31,Online,408.8,7,58.4
CUST00525,2024-05-17,Call Center,33.7,3,11.23
CUST00594,2024-08-25,Call Center,271.04,5,54.21
CUST00385,2025-01-31,Online,791.42,10,79.14
CUST00294,2024-11-03,Mobile,240.91,10,24.09
CUST00430,2024-02-22,Online,598.72,7,85.53
CUST00366,2024-10-07,Store,509.34,3,169.78
CUST00490,2025-02-22,Store,751.19,1,751.19
CUST00147,2024-04-08,Store,152.83,1,152.83
CUST00555,2024-11-29,Online,349.31,10,34.93
CUST00337,2025-03-16,Online,138.22,3,46.07
CUST00533,2025-06-24,Mobile,217.36,3,72.45
CUST00306,2024-11-11,Store,518.11,9,57.57
CUST00420,2025-01-10,Mobile,555.8,10,55.58
CUST00317,2024-12-02,Store,348.4,6,58.07
CUST00170,2025-03-12,Mobile,623.74,7,89.11
CUST00156,2024-12-29,Online,106.78,1,106.78
CUST00127,2024-06-13,Online,693.0,2,346.5
CUST00592,2024-07-12,Online,450.86,9,50.1
CUST00373,2025-02-09,Store,73.93,10,7.39
CUST00590,2024-08-05,Online,214.56,9,23.84
CUST00175,2025-06-07,Store,58.07,9,6.45
CUST00423,2025-03-01,Mobile,338.16,4,84.54
CUST00428,2024-10-23,Online,459.36,3,153.12
CUST00419,2024-09-09,Call Center,53.58,10,5.36
CUST00049,2024-05-22,Online,646.7,9,71.86
CUST00519,2024-08-26,Call Center,141.78,3,47.26
CUST00009,2024-03-02,Store,409.32,3,136.44
CUST00269,2024-07-21,Store,275.12,7,39.3
CUST00320,2024-03-06,Online,771.81,5,154.36
CUST00410,2025-06-17,Mobile,531.45,8,66.43
CUST00594,2024-08-01,Store,339.57,8,42.45
CUST00495,2025-02-01,Mobile,337.2,2,168.6
CUST00441,2024-05-01,Call Center,547.09,1,547.09
CUST00076,2024-08-31,Mobile,158.08,1,158.08
CUST00472,2024-08-19,Store,92.97,5,18.59
CUST00310,2024-05-01,Store,608.39,9,67.6
CUST00213,2025-01-01,Online,334.32,10,33.43
CUST00219,2024-10-22,Store,375.07,8,46.88
CUST00163,2024-08-13,Online,762.38,6,127.06
CUST00352,2025-01-22,Mobile,449.0,10,44.9
CUST00366,2024-06-26,Mobile,590.02,8,73.75
CUST00345,2024-04-17,Call Center,628.75,5,125.75
CUST00411,2024-06-23,Mobile,414.93,4,103.73
CUST00560,2024-05-29,Call Center,568.46,10,56.85
CUST00244,2024-09-22,Mobile,390.54,4,97.64
CUST00508,2024-10-21,Mobile,735.02,10,73.5
CUST00592,2024-03-10,Mobile,523.21,10,52.32
CUST00356,2025-02-06,Online,487.63,8,60.95
CUST00265,2024-10-01,Store,456.33,10,45.63
CUST00473,2025-03-11,Mobile,149.13,9,16.57
CUST00536,2024-03-24,Online,540.48,1,540.48
CUST00396,2024-06-11,Online,139.47,7,19.92
CUST00422,2024-07-07,Mobile,76.12,3,25.37
CUST00065,2024-08-09,Call Center,45.82,10,4.58
CUST00323,2025-01-17,Mobile,43.38,10,4.34
CUST00004,2024-07-31,Store,76.57,5,15.31
CUST00320,2024-05-27,Mobile,139.76,6,23.29
CUST00493,2025-05-10,Store,494.83,8,61.85
CUST00475,2024-04-08,Store,465.6,9,51.73
CUST00193,2024-11-26,Store,577.71,3,192.57
CUST00541,2024-07-27,Call Center,521.16,3,173.72
CUST00015,2024-09-14,Mobile,779.08,7,111.3
CUST00192,2024-04-11,Store,75.04,10,7.5
CUST00581,2025-01-14,Mobile,529.18,6,88.2
CUST00029,2025-02-01,Online,198.2,6,33.03
