order_id,customer_id,product_id,order_date,category,segment,sales_amount,discount_rate,profit_amount
ORD000081,CUST00380,PROD0132,2025-01-13,Technology,Corporate,932.81,0.049,220.46
ORD000082,CUST00009,PROD0142,2023-08-31,Furniture,Corporate,338.25,0.144,51.74
ORD000083,CUST00028,PROD0031,2023-12-18,Furniture,Home Office,838.31,0.124,306.61
ORD000084,CUST00145,PROD0144,2023-08-19,Office Supplies,Home Office,455.74,0.042,168.47
ORD000085,CUST00131,PROD0099,2024-11-09,Office Supplies,Home Office,870.56,0.173,276.48
ORD000086,CUST00312,PROD0099,2024-01-03,Technology,Corporate,999.57,0.086,372.27
ORD000087,CUST00067,PROD0096,2023-09-14,Office Supplies,Corporate,952.79,0.152,333.68
ORD000088,CUST00082,PROD0008,2023-11-28,Office Supplies,Corporate,21.71,0.17,8.15
ORD000089,CUST00084,PROD0133,2023-07-30,Technology,Corporate,889.02,0.119,222.31
ORD000090,CUST00078,PROD0113,2025-01-28,Office Supplies,Consumer,109.17,0.073,19.4
ORD000091,CUST00048,PROD0046,2025-03-30,Furniture,Corporate,678.34,0.147,172.77
ORD000092,CUST00190,PROD0009,2024-03-22,Furniture,Consumer,828.54,0.0,156.98
ORD000093,CUST00354,PROD0150,2025-04-04,Technology,Corporate,590.77,0.199,108.5
ORD000094,CUST00106,PROD0008,2024-05-03,Technology,Consumer,352.71,0.182,138.17
ORD000095,CUST00267,PROD0068,2024-12-11,Furniture,Consumer,293.93,0.149,31.29
ORD000096,CUST00313,PROD0055,2024-07-23,Furniture,Corporate,821.07,0.218,231.9
ORD000097,CUST00159,PROD0116,2025-05-26,Furniture,Corporate,135.22,0.182,16.04
ORD000098,CUST00162,PROD0051,2024-05-01,Technology,Corporate,441.1,0.036,63.85
ORD000099,CUST00343,PROD0145,2023-08-18,Office Supplies,Home Office,808.8,0.117,123.36
ORD000100,CUST00040,PROD0030,2024-11-04,Furniture,Home Office,66.79,0.005,21.39
ORD000101,CUST00351,PROD0037,2024-06-16,Office Supplies,Home Office,245.76,0.037,29.05
ORD000102,CUST00195,PROD0093,2024-08-21,Technology,Home Office,837.6,0.195,323.39
ORD000103,CUST00333,PROD0061,2024-09-22,Furniture,Consumer,30.9,0.141,3.19
ORD000104,CUST00299,PROD0055,2024-12-18,Furniture,Corporate,558.15,0.048,197.36
ORD000105,CUST00145,PROD0129,2024-02-02,Technology,Home Office,392.46,0.143,110.81
ORD000106,CUST00384,PROD0077,2025-04-18,Technology,Consumer,890.85,0.109,300.43
ORD000107,CUST00311,PROD0008,2025-03-03,Office Supplies,Corporate,30.2,0.039,6.99
ORD000108,CUST00382,PROD0091,2024-02-03,Furniture,Corporate,647.7,0.088,163.92
ORD000109,CUST00375,PROD0006,2023-08-28,Office Supplies,Home Office,430.28,0.244,119.17
ORD000110,CUST00001,PROD0045,2025-03-20,Furniture,Corporate,978.53,0.104,260.6
ORD000111,CUST00041,PROD0131,2024-11-22,Furniture,Corporate,881.32,0.204,302.3
ORD000112,CUST00016,PROD0041,2023-07-03,Furniture,Corporate,406.14,0.235,104.56
ORD000113,CUST00391,PROD0082,2025-01-06,Technology,Consumer,32.81,0.043,6.89
ORD000114,CUST00043,PROD0023,2024-01-08,Furniture,Home Office,221.51,0.156,78.04
ORD000115,CUST00321,PROD0027,2024-12-21,Technology,Home Office,543.82,0.171,211.76
ORD000116,CUST00027,PROD0088,2024-09-05,Office Supplies,Corporate,522.76,0.179,111.8
ORD000117,CUST00009,PROD0148,2025-06-22,Technology,Corporate,180.55,0.176,46.67
ORD000118,CUST00047,PROD0062,2024-03-17,Technology,Consumer,57.98,0.142,6.73
ORD000119,CUST00093,PROD0078,2023-09-07,Office Supplies,Home Office,338.39,0.026,115.49
ORD000120,CUST00137,PROD0138,2023-12-17,Office Supplies,Consumer,635.51,0.2,108.76
ORD000121,CUST00049,PROD0089,2024-06-09,Furniture,Corporate,975.99,0.068,178.43
ORD000122,CUST00206,PROD0103,2023-09-23,Furniture,Corporate,114.95,0.038,28.03
ORD000123,CUST00057,PROD0117,2025-05-14,Furniture,Corporate,875.7,0.136,241.55
ORD000124,CUST00288,PROD0139,2025-05-28,Furniture,Corporate,53.43,0.163,10.81
ORD000125,CUST00081,PROD0134,2024-04-20,Furniture,Home Office,760.76,0.297,198.13
ORD000126,CUST00177,PROD0075,2024-07-30,Office Supplies,Consumer,928.81,0.175,99.05
ORD000127,CUST00172,PROD0127,2024-04-18,Office Supplies,Consumer,395.95,0.266,39.86
ORD000128,CUST00311,PROD0006,2025-03-02,Technology,Home Office,566.91,0.049,56.78
ORD000129,CUST00099,PROD0006,2024-04-26,Furniture,Home Office,836.69,0.076,274.78
ORD000130,CUST00346,PROD0053,2025-04-10,Technology,Corporate,290.5,0.018,86.96
ORD000131,CUST00044,PROD0111,2024-09-02,Furniture,Corporate,359.51,0.23,109.93
ORD000132,CUST00297,PROD0065,2024-04-01,Furniture,Corporate,107.92,0.188,29.23
ORD000133,CUST00170,PROD0070,2025-02-16,Furniture,Consumer,441.07,0.071,118.44
ORD000134,CUST00075,PROD0042,2023-12-26,Furniture,Corporate,927.79,0.154,120.21
ORD000135,CUST00026,PROD0029,2024-05-04,Technology,Corporate,670.64,0.209,228.33
ORD000136,CUST00064,PROD0115,2024-10-04,Furniture,Consumer,268.62,0.112,28.62
ORD000137,CUST00214,PROD0035,2024-04-05,Furniture,Consumer,670.23,0.132,187.48
ORD000138,CUST00318,PROD0135,2023-12-03,Office Supplies,Home Office,505.06,0.184,123.75
ORD000139,CUST00134,PROD0129,2025-04-12,Office Supplies,Home Office,489.94,0.268,52.74
ORD000140,CUST00169,PROD0029,2024-08-18,Technology,Consumer,549.17,0.029,100.45
ORD000141,CUST00131,PROD0032,2024-02-08,Office Supplies,Consumer,744.64,0.267,155.76
ORD000142,CUST00162,PROD0118,2024-02-08,Office Supplies,Corporate,830.6,0.024,251.86
ORD000143,CUST00359,PROD0105,2023-09-28,Furniture,Corporate,954.81,0.086,315.44
ORD000144,CUST00046,PROD0037,2025-04-18,Office Supplies,Consumer,930.06,0.139,279.42
ORD000145,CUST00025,PROD0024,2024-05-26,Furniture,Consumer,699.97,0.271,100.64
ORD000146,CUST00072,PROD0078,2024-09-25,Furniture,Corporate,763.65,0.08,232.06
ORD000147,CUST00400,PROD0136,2023-09-14,Technology,Consumer,687.23,0.06,269.3
ORD000148,CUST00342,PROD0081,2025-01-01,Office Supplies,Corporate,342.96,0.015,101.2
ORD000149,CUST00053,PROD0117,2025-06-09,Furniture,Consumer,954.0,0.024,163.53
ORD000150,CUST00359,PROD0051,2024-04-22,Furniture,Home Office,322.73,0.183,66.23
ORD000151,CUST00241,PROD0144,2025-01-22,Furniture,Home Office,628.28,0.051,127.04
ORD000152,CUST00384,PROD0130,2023-11-08,Technology,Consumer,836.49,0.278,312.47
ORD000153,CUST00279,PROD0132,2023-07-13,Furniture,Corporate,426.28,0.242,155.75
ORD000154,CUST00178,PROD0111,2024-07-06,Technology,Home Office,653.47,0.134,219.01
ORD000155,CUST00022,PROD0097,2024-03-16,Technology,Corporate,267.79,0.245,59.84
ORD000156,CUST00372,PROD0047,2024-06-24,Technology,Consumer,297.41,0.17,52.52
ORD000157,CUST00384,PROD0043,2024-05-28,Furniture,Corporate,600.48,0.233,68.72
ORD000158,CUST00090,PROD0136,2025-02-24,Furniture,Consumer,814.12,0.062,323.71
ORD000159,CUST00325,PROD0007,2025-04-06,Furniture,Corporate,516.34,0.119,85.14
ORD000160,CUST00254,PROD0143,2025-02-06,Furniture,Corporate,348.24,0.163,95.21
ORD000161,CUST00044,PROD0134,2023-08-13,Office Supplies,Corporate,736.62,0.153,153.32
ORD000162,CUST00186,PROD0017,2025-02-05,Technology,Home Office,572.33,0.217,92.48
ORD000163,CUST00189,PROD0137,2024-01-09,Furniture,Consumer,389.95,0.177,77.59
ORD000164,CUST00329,PROD0112,2024-11-23,Technology,Consumer,328.57,0.111,86.02
ORD000165,CUST00180,PROD0048,2023-08-19,Furniture,Home Office,469.34,0.232,174.45
ORD000166,CUST00105,PROD0098,2025-05-10,Furniture,Corporate,56.02,0.192,19.87
ORD000167,CUST00098,PROD0149,2024-12-13,Office Supplies,Consumer,512.88,0.173,121.66
ORD000168,CUST00067,PROD0036,2023-11-27,Office Supplies,Home Office,79.11,0.075,17.79
ORD000169,CUST00344,PROD0071,2025-03-24,Furniture,Home Office,39.04,0.257,6.55
ORD000170,CUST00385,PROD0081,2023-08-29,Office Supplies,Corporate,367.46,0.237,134.95
ORD000171,CUST00073,PROD0013,2024-12-23,Office Supplies,Corporate,216.61,0.03,30.68
ORD000172,CUST00269,PROD0069,2024-07-13,Office Supplies,Consumer,892.96,0.16,323.35
ORD000173,CUST00059,PROD0029,2025-02-19,Office Supplies,Consumer,68.01,0.277,25.14
ORD000174,CUST00386,PROD0060,2025-01-11,Office Supplies,Consumer,186.06,0.006,24.09
ORD000175,CUST00094,PROD0024,2024-12-31,Technology,Corporate,740.72,0.132,151.02
ORD000176,CUST00189,PROD0031,2023-09-27,Office Supplies,Home Office,210.4,0.255,30.22
ORD000177,CUST00111,PROD0116,2024-01-08,Office Supplies,Home Office,683.8,0.192,189.48
ORD000178,CUST00193,PROD0086,2025-01-12,Furniture,Corporate,348.62,0.226,139.2
ORD000179,CUST00279,PROD0129,2023-11-02,Office Supplies,Consumer,675.34,0.272,195.6
ORD000180,CUST00347,PROD0058,2024-05-01,Furniture,Home Office,501.71,0.182,98.21
ORD000181,CUST00363,PROD0130,2024-11-01,Office Supplies,Corporate,328.27,0.274,130.72
ORD000182,CUST00336,PROD0027,2023-12-13,Furniture,Home Office,619.79,0.29,246.89
ORD000183,CUST00236,PROD0065,2023-12-17,Furniture,Corporate,984.5,0.035,174.02
ORD000184,CUST00175,PROD0050,2024-02-23,Furniture,Corporate,84.88,0.254,10.9
ORD000185,CUST00324,PROD0053,2023-09-06,Technology,Corporate,179.13,0.175,37.52
ORD000186,CUST00394,PROD0063,2024-07-22,Furniture,Corporate,786.69,0.258,146.98
ORD000187,CUST00136,PROD0097,2023-07-17,Furniture,Corporate,572.62,0.234,80.24
ORD000188,CUST00194,PROD0116,2024-09-22,Technology,Consumer,993.55,0.12,238.7
ORD000189,CUST00106,PROD0052,2024-09-10,Office Supplies,Corporate,561.57,0.21,222.59
ORD000190,CUST00306,PROD0116,2024-02-25,Furniture,Consumer,686.89,0.118,168.07
ORD000191,CUST00299,PROD0057,2025-03-02,Furniture,Corporate,425.7,0.23,109.34
ORD000192,CUST00114,PROD0072,2024-05-18,Office Supplies,Corporate,811.21,0.262,148.35
ORD000193,CUST00083,PROD0121,2024-06-02,Technology,Home Office,334.23,0.141,119.55
ORD000194,CUST00195,PROD0145,2024-06-28,Furniture,Consumer,350.96,0.106,137.1
ORD000195,CUST00044,PROD0142,2023-11-25,Furniture,Consumer,130.34,0.008,26.73
ORD000196,CUST00143,PROD0052,2023-12-01,Furniture,Corporate,245.5,0.014,87.7
ORD000197,CUST00253,PROD0119,2024-02-25,Technology,Home Office,129.27,0.03,46.33
ORD000198,CUST00099,PROD0076,2024-05-20,Furniture,Consumer,88.88,0.293,28.91
ORD000199,CUST00175,PROD0111,2025-04-01,Furniture,Corporate,331.58,0.276,90.7
ORD000200,CUST00324,PROD0032,2024-01-14,Technology,Consumer,897.38,0.274,356.81
ORD000201,CUST00013,PROD0072,2024-07-27,Furniture,Corporate,627.34,0.13,164.91
ORD000202,CUST00303,PROD0122,2024-08-20,Technology,Consumer,473.93,0.283,127.88
ORD000203,CUST00293,PROD0072,2024-01-01,Office Supplies,Corporate,823.11,0.133,251.81
ORD000204,CUST00231,PROD0137,2024-06-20,Furniture,Consumer,170.69,0.23,65.78
ORD000205,CUST00152,PROD0099,2023-12-29,Office Supplies,Consumer,704.88,0.062,249.36
ORD000206,CUST00368,PROD0132,2023-11-01,Furniture,Corporate,730.35,0.022,173.29
ORD000207,CUST00066,PROD0079,2024-07-27,Office Supplies,Home Office,881.71,0.134,345.36
ORD000208,CUST00189,PROD0010,2024-11-04,Technology,Consumer,653.09,0.055,184.22
ORD000209,CUST00304,PROD0103,2023-10-18,Furniture,Home Office,917.88,0.152,311.58
ORD000210,CUST00126,PROD0057,2024-01-30,Furniture,Home Office,874.23,0.173,322.42
ORD000211,CUST00322,PROD0140,2025-06-11,Office Supplies,Consumer,643.02,0.043,129.12
ORD000212,CUST00356,PROD0069,2024-05-14,Furniture,Home Office,170.95,0.276,34.07
ORD000213,CUST00073,PROD0012,2024-10-14,Technology,Corporate,216.59,0.117,23.14
ORD000214,CUST00359,PROD0031,2025-06-29,Office Supplies,Consumer,658.09,0.008,160.72
ORD000215,CUST00392,PROD0064,2024-11-20,Office Supplies,Consumer,327.19,0.197,121.06
ORD000216,CUST00180,PROD0113,2024-10-29,Office Supplies,Consumer,167.36,0.05,50.02
ORD000217,CUST00219,PROD0060,2024-12-16,Furniture,Home Office,65.24,0.03,13.16
ORD000218,CUST00236,PROD0141,2024-02-26,Technology,Home Office,275.29,0.255,72.86
ORD000219,CUST00213,PROD0105,2024-07-27,Furniture,Home Office,236.5,0.12,85.75
ORD000220,CUST00286,PROD0145,2024-05-09,Technology,Home Office,892.86,0.163,96.8
ORD000221,CUST00112,PROD0121,2024-07-08,Technology,Home Office,900.1,0.075,134.88
ORD000222,CUST00249,PROD0047,2023-11-24,Technology,Consumer,430.87,0.13,149.96
ORD000223,CUST00359,PROD0127,2024-03-18,Technology,Corporate,759.2,0.233,190.68
ORD000224,CUST00295,PROD0124,2025-05-24,Technology,Home Office,477.64,0.286,86.6
ORD000225,CUST00138,PROD0035,2024-12-15,Office Supplies,Corporate,187.57,0.201,35.42
ORD000226,CUST00213,PROD0046,2024-07-07,Technology,Corporate,953.68,0.063,241.28
ORD000227,CUST00003,PROD0003,2024-05-09,Furniture,Consumer,627.78,0.095,198.9
ORD000228,CUST00120,PROD0043,2024-01-27,Technology,Home Office,987.79,0.223,376.38
ORD000229,CUST00045,PROD0099,2025-01-20,Office Supplies,Consumer,248.17,0.179,51.93
ORD000230,CUST00048,PROD0086,2023-11-04,Furniture,Home Office,224.02,0.254,85.6
ORD000231,CUST00164,PROD0147,2024-02-26,Office Supplies,Consumer,97.13,0.234,26.38
ORD000232,CUST00385,PROD0136,2023-08-03,Office Supplies,Consumer,810.36,0.224,111.69
ORD000233,CUST00302,PROD0144,2024-08-22,Furniture,Home Office,94.44,0.07,35.98
ORD000234,CUST00019,PROD0060,2023-09-25,Office Supplies,Home Office,327.08,0.025,89.29
ORD000235,CUST00077,PROD0104,2023-10-15,Furniture,Consumer,994.7,0.152,261.14
ORD000236,CUST00251,PROD0062,2025-04-15,Technology,Corporate,118.55,0.219,28.7
ORD000237,CUST00378,PROD0149,2023-11-06,Furniture,Home Office,106.45,0.101,19.25
ORD000238,CUST00339,PROD0130,2025-05-03,Technology,Home Office,638.41,0.195,178.67
ORD000239,CUST00315,PROD0054,2023-12-27,Technology,Home Office,432.83,0.228,73.29
ORD000240,CUST00052,PROD0080,2025-01-06,Office Supplies,Corporate,415.1,0.16,89.41
ORD000241,CUST00204,PROD0011,2023-11-09,Furniture,Home Office,994.79,0.245,348.53
ORD000242,CUST00019,PROD0138,2024-03-20,Office Supplies,Home Office,847.58,0.001,319.43
ORD000243,CUST00275,PROD0090,2024-04-02,Technology,Home Office,449.6,0.053,61.19
ORD000244,CUST00080,PROD0088,2024-08-26,Technology,Consumer,781.93,0.086,233.82
ORD000245,CUST00001,PROD0048,2024-06-07,Furniture,Consumer,573.44,0.098,142.8
ORD000246,CUST00209,PROD0026,2023-12-30,Technology,Home Office,481.08,0.225,167.18
ORD000247,CUST00033,PROD0083,2024-05-10,Technology,Consumer,179.12,0.05,65.1
ORD000248,CUST00164,PROD0146,2024-07-30,Office Supplies,Corporate,945.89,0.233,116.97
ORD000249,CUST00284,PROD0037,2023-08-15,Office Supplies,Home Office,349.21,0.203,67.78
ORD000250,CUST00153,PROD0016,2024-09-23,Office Supplies,Corporate,95.25,0.084,22.37
ORD000251,CUST00043,PROD0006,2024-06-06,Technology,Home Office,32.7,0.253,5.17
ORD000252,CUST00061,PROD0150,2023-11-24,Technology,Home Office,524.68,0.024,171.82
ORD000253,CUST00300,PROD0088,2023-07-24,Technology,Consumer,222.26,0.255,53.94
ORD000254,CUST00186,PROD0066,2025-05-06,Office Supplies,Home Office,959.46,0.091,188.44
ORD000255,CUST00184,PROD0093,2023-10-28,Technology,Corporate,711.09,0.256,284.05
ORD000256,CUST00189,PROD0133,2025-01-02,Technology,Corporate,489.76,0.065,127.55
ORD000257,CUST00284,PROD0049,2024-11-30,Technology,Consumer,282.5,0.057,91.52
ORD000258,CUST00121,PROD0111,2024-02-22,Technology,Consumer,937.95,0.128,165.46
ORD000259,CUST00188,PROD0139,2024-05-18,Furniture,Home Office,770.71,0.102,212.45
ORD000260,CUST00138,PROD0039,2023-09-08,Technology,Corporate,635.71,0.082,209.34
ORD000261,CUST00273,PROD0029,2023-12-29,Office Supplies,Corporate,810.52,0.126,144.55
ORD000262,CUST00220,PROD0032,2024-11-27,Furniture,Corporate,618.3,0.128,131.82
ORD000263,CUST00366,PROD0094,2024-08-07,Office Supplies,Consumer,262.76,0.212,61.88
ORD000264,CUST00159,PROD0079,2024-08-27,Furniture,Corporate,524.72,0.088,121.51
ORD000265,CUST00203,PROD0021,2024-05-13,Technology,Home Office,910.98,0.016,255.65
ORD000266,CUST00385,PROD0086,2024-08-27,Furniture,Consumer,737.5,0.236,100.1
ORD000267,CUST00172,PROD0134,2024-12-23,Furniture,Home Office,84.66,0.103,21.66
ORD000268,CUST00318,PROD0120,2025-03-10,Furniture,Consumer,530.69,0.116,102.88
ORD000269,CUST00030,PROD0115,2023-11-02,Furniture,Consumer,853.77,0.15,166.17
ORD000270,CUST00150,PROD0025,2025-02-15,Furniture,Consumer,917.35,0.176,323.53
ORD000271,CUST00089,PROD0045,2025-04-07,Office Supplies,Home Office,363.56,0.273,92.11
ORD000272,CUST00064,PROD0039,2023-12-13,Furniture,Consumer,661.02,0.268,183.32
ORD000273,CUST00230,PROD0132,2023-12-26,Furniture,Consumer,338.86,0.127,59.97
ORD000274,CUST00207,PROD0105,2024-08-18,Office Supplies,Consumer,830.0,0.058,152.51
ORD000275,CUST00152,PROD0021,2024-06-10,Furniture,Consumer,672.98,0.219,230.21
ORD000276,CUST00097,PROD0122,2024-10-12,Technology,Home Office,360.05,0.163,120.71
ORD000277,CUST00248,PROD0029,2023-12-21,Technology,Home Office,375.65,0.148,81.48
ORD000278,CUST00323,PROD0027,2024-12-06,Office Supplies,Consumer,181.49,0.243,29.46
ORD000279,CUST00018,PROD0100,2024-08-05,Furniture,Home Office,390.88,0.027,145.69
ORD000280,CUST00205,PROD0033,2024-09-30,Office Supplies,Consumer,470.56,0.267,100.29
ORD000281,CUST00396,PROD0093,2023-08-27,Furniture,Corporate,148.29,0.041,43.87
ORD000282,CUST00044,PROD0107,2025-06-26,Furniture,Consumer,181.67,0.103,33.41
ORD000283,CUST00215,PROD0033,2023-07-23,Technology,Home Office,136.07,0.182,18.88
ORD000284,CUST00090,PROD0139,2023-07-30,Technology,Corporate,483.54,0.164,142.96
ORD000285,CUST00290,PROD0004,2024-06-29,Furniture,Home Office,424.32,0.282,126.59
ORD000286,CUST00070,PROD0043,2025-04-29,Office Supplies,Consumer,701.86,0.216,113.4
ORD000287,CUST00233,PROD0082,2024-03-13,Office Supplies,Corporate,25.49,0.152,5.17
ORD000288,CUST00022,PROD0122,2024-03-02,Technology,Corporate,898.67,0.135,213.59
ORD000289,CUST00091,PROD0147,2024-01-29,Technology,Home Office,441.09,0.115,170.65
ORD000290,CUST00349,PROD0129,2024-10-26,Office Supplies,Home Office,356.96,0.149,119.47
ORD000291,CUST00033,PROD0087,2024-04-01,Office Supplies,Consumer,492.35,0.153,144.22
ORD000292,CUST00279,PROD0072,2025-01-11,Furniture,Consumer,579.86,0.096,208.51
ORD000293,CUST00131,PROD0049,2023-09-13,Office Supplies,Consumer,225.04,0.023,81.15
ORD000294,CUST00299,PROD0089,2023-09-26,Office Supplies,Consumer,235.72,0.256,91.59
